r = 0.2,upperCap = 2
NodeID,X,Y,EdgeTo,Capacity
0,0.50,0.47,4,1
0,0.50,0.47,15,0
0,0.50,0.47,37,0
0,0.50,0.47,83,0
0,0.50,0.47,84,1
0,0.50,0.47,89,1
0,0.50,0.47,119,1
0,0.50,0.47,138,1
0,0.50,0.47,141,1
0,0.50,0.47,185,1
0,0.50,0.47,195,1
1,0.30,0.88,3,1
1,0.30,0.88,5,0
1,0.30,0.88,19,1
1,0.30,0.88,28,1
1,0.30,0.88,68,0
1,0.30,0.88,69,1
1,0.30,0.88,75,0
1,0.30,0.88,96,1
1,0.30,0.88,106,0
1,0.30,0.88,116,1
1,0.30,0.88,139,1
1,0.30,0.88,157,1
2,0.17,0.95,1,0
2,0.17,0.95,3,1
2,0.17,0.95,5,0
2,0.17,0.95,6,0
2,0.17,0.95,28,1
2,0.17,0.95,40,1
2,0.17,0.95,41,1
2,0.17,0.95,42,1
2,0.17,0.95,64,0
2,0.17,0.95,66,1
2,0.17,0.95,69,1
2,0.17,0.95,96,1
2,0.17,0.95,102,0
2,0.17,0.95,116,0
2,0.17,0.95,133,0
2,0.17,0.95,165,1
2,0.17,0.95,181,0
2,0.17,0.95,197,0
3,0.17,0.88,28,1
3,0.17,0.88,69,0
4,0.42,0.64,-,-
5,0.15,0.81,3,1
5,0.15,0.81,41,0
5,0.15,0.81,42,1
5,0.15,0.81,64,1
5,0.15,0.81,69,1
5,0.15,0.81,96,1
5,0.15,0.81,116,0
5,0.15,0.81,133,0
5,0.15,0.81,139,1
5,0.15,0.81,181,0
5,0.15,0.81,184,0
6,0.21,0.91,1,0
6,0.21,0.91,3,0
6,0.21,0.91,5,1
6,0.21,0.91,19,1
6,0.21,0.91,28,0
6,0.21,0.91,40,1
6,0.21,0.91,41,0
6,0.21,0.91,42,0
6,0.21,0.91,64,0
6,0.21,0.91,66,0
6,0.21,0.91,69,1
6,0.21,0.91,96,1
6,0.21,0.91,102,0
6,0.21,0.91,116,0
6,0.21,0.91,133,1
6,0.21,0.91,165,0
6,0.21,0.91,181,1
6,0.21,0.91,197,1
7,0.19,0.64,5,0
7,0.19,0.64,38,0
7,0.19,0.64,42,1
7,0.19,0.64,58,0
7,0.19,0.64,96,1
7,0.19,0.64,108,0
7,0.19,0.64,139,0
7,0.19,0.64,142,0
7,0.19,0.64,181,0
7,0.19,0.64,196,0
8,0.65,0.92,9,0
8,0.65,0.92,47,1
8,0.65,0.92,59,0
8,0.65,0.92,60,1
8,0.65,0.92,71,1
8,0.65,0.92,74,0
