r = 0.2,upperCap = 2
NodeID,X,Y,EdgeTo,Capacity
0,0.66,0.46,2,1
0,0.66,0.46,21,1
0,0.66,0.46,26,1
0,0.66,0.46,80,0
0,0.66,0.46,108,0
0,0.66,0.46,112,0
0,0.66,0.46,138,0
0,0.66,0.46,143,0
0,0.66,0.46,146,1
0,0.66,0.46,148,0
0,0.66,0.46,149,1
0,0.66,0.46,157,0
0,0.66,0.46,180,0
0,0.66,0.46,191,1
0,0.66,0.46,193,0
1,0.39,0.89,34,0
1,0.39,0.89,44,1
1,0.39,0.89,63,0
1,0.39,0.89,69,1
1,0.39,0.89,88,0
1,0.39,0.89,90,0
1,0.39,0.89,97,1
1,0.39,0.89,122,0
1,0.39,0.89,128,0
1,0.39,0.89,162,0
1,0.39,0.89,168,1
1,0.39,0.89,184,0
1,0.39,0.89,185,1
1,0.39,0.89,197,0
2,0.75,0.36,9,0
2,0.75,0.36,21,0
2,0.75,0.36,26,1
2,0.75,0.36,32,0
2,0.75,0.36,108,1
2,0.75,0.36,120,1
2,0.75,0.36,138,0
2,0.75,0.36,143,0
2,0.75,0.36,157,0
2,0.75,0.36,174,0
3,0.48,0.49,0,1
3,0.48,0.49,11,1
3,0.48,0.49,13,0
3,0.48,0.49,14,0
3,0.48,0.49,16,1
3,0.48,0.49,18,1
3,0.48,0.49,45,1
3,0.48,0.49,49,1
3,0.48,0.49,79,0
3,0.48,0.49,80,0
3,0.48,0.49,87,1
3,0.48,0.49,94,0
3,0.48,0.49,96,1
3,0.48,0.49,100,1
3,0.48,0.49,108,1
3,0.48,0.49,112,1
3,0.48,0.49,121,1
3,0.48,0.49,135,1
3,0.48,0.49,138,0
3,0.48,0.49,146,1
3,0.48,0.49,148,1
3,0.48,0.49,171,1
3,0.48,0.49,180,1
3,0.48,0.49,186,1
3,0.48,0.49,191,1
4,0.11,0.25,139,0
4,0.11,0.25,183,1
4,0.11,0.25,195,1
5,0.27,0.56,13,0
5,0.27,0.56,36,1
5,0.27,0.56,40,1
5,0.27,0.56,59,0
5,0.27,0.56,64,1
5,0.27,0.56,79,0
5,0.27,0.56,121,1
5,0.27,0.56,135,1
5,0.27,0.56,144,1
5,0.27,0.56,150,1
5,0.27,0.56,155,0
5,0.27,0.56,160,0
6,0.19,0.49,5,1
6,0.19,0.49,13,0
6,0.19,0.49,14,1
6,0.19,0.49,29,1
6,0.19,0.49,36,1
6,0.19,0.49,40,1
6,0.19,0.49,50,1
6,0.19,0.49,53,0
6,0.19,0.49,59,1
6,0.19,0.49,76,0
6,0.19,0.49,81,1
6,0.19,0.49,84,1
6,0.19,0.49,86,1
6,0.19,0.49,105,0
6,0.19,0.49,109,1
6,0.19,0.49,110,0
6,0.19,0.49,121,1
6,0.19,0.49,135,0
6,0.19,0.49,136,1
6,0.19,0.49,144,1
6,0.19,0.49,150,0
6,0.19,0.49,155,1
6,0.19,0.49,188,1
6,0.19,0.49,192,1
6,0.19,0.49,196,1
7,0.86,0.67,25,0
8,0.59,0.23,78,0
8,0.59,0.23,108,0
8,0.59,0.23,112,1
8,0.59,0.23,138,0
8,0.59,0.23,175,0
8,0.59,0.23,186,0
9,0.88,0.51,7,1
9,0.88,0.51,21,1
9,0.88,0.51,74,0
9,0.88,0.51,120,1
9,0.88,0.51,143,1
9,0.88,0.51,157,1
10,0.88,0.72,7,1
10,0.88,0.72,25,1
10,0.88,0.72,74,1
10,0.88,0.72,92,0
10,0.88,0.72,127,1
10,0.88,0.72,149,0
10,0.88,0.72,152,1
10,0.88,0.72,167,0
10,0.88,0.72,181,0
11,0.59,0.45,0,1
11,0.59,0.45,2,1
11,0.59,0.45,12,1
11,0.59,0.45,16,0
11,0.59,0.45,18,1
11,0.59,0.45,21,0
11,0.59,0.45,45,0
11,0.59,0.45,57,1
11,0.59,0.45,72,1
11,0.59,0.45,73,0
11,0.59,0.45,79,1
11,0.59,0.45,80,0
11,0.59,0.45,96,1
11,0.59,0.45,100,1
11,0.59,0.45,103,0
11,0.59,0.45,106,0
11,0.59,0.45,108,0
11,0.59,0.45,112,1
11,0.59,0.45,115,1
11,0.59,0.45,125,0
11,0.59,0.45,138,0
11,0.59,0.45,143,0
11,0.59,0.45,146,1
11,0.59,0.45,148,0
11,0.59,0.45,156,1
11,0.59,0.45,171,1
11,0.59,0.45,179,1
11,0.59,0.45,180,1
11,0.59,0.45,186,0
11,0.59,0.45,191,1
11,0.59,0.45,193,1
12,0.71,0.58,0,1
12,0.71,0.58,7,0
12,0.71,0.58,9,0
12,0.71,0.58,21,0
12,0.71,0.58,80,1
12,0.71,0.58,92,0
12,0.71,0.58,100,1
12,0.71,0.58,115,1
12,0.71,0.58,124,0
12,0.71,0.58,127,1
12,0.71,0.58,143,0
12,0.71,0.58,149,1
12,0.71,0.58,152,0
12,0.71,0.58,180,1
12,0.71,0.58,181,1
12,0.71,0.58,193,0
13,0.31,0.46,16,1
13,0.31,0.46,67,1
13,0.31,0.46,75,1
13,0.31,0.46,79,1
13,0.31,0.46,135,0
13,0.31,0.46,146,0
13,0.31,0.46,150,1
13,0.31,0.46,155,0
13,0.31,0.46,171,0
13,0.31,0.46,191,1
13,0.31,0.46,198,0
14,0.38,0.43,5,1
14,0.38,0.43,13,1
14,0.38,0.43,16,0
14,0.38,0.43,40,0
14,0.38,0.43,45,1
14,0.38,0.43,67,1
