r = 0.2,upperCap = 50,,,
NodeID,X,Y,EdgeTo,Capacity
0,0.66,0.46,2,29
0,0.66,0.46,3,36
0,0.66,0.46,11,19
0,0.66,0.46,12,5
0,0.66,0.46,21,43
0,0.66,0.46,27,14
0,0.66,0.46,45,20
0,0.66,0.46,72,15
0,0.66,0.46,73,48
0,0.66,0.46,80,29
0,0.66,0.46,92,24
0,0.66,0.46,94,5
1,0.39,0.89,90,48
2,0.75,0.36,-,-
3,0.48,0.49,11,7
3,0.48,0.49,18,50
3,0.48,0.49,94,2
4,0.11,0.25,29,25
4,0.11,0.25,39,14
4,0.11,0.25,50,24
4,0.11,0.25,51,43
4,0.11,0.25,53,16
4,0.11,0.25,55,7
4,0.11,0.25,61,35
4,0.11,0.25,65,38
4,0.11,0.25,67,15
4,0.11,0.25,84,14
5,0.27,0.56,18,49
5,0.27,0.56,35,2
5,0.27,0.56,40,34
5,0.27,0.56,59,28
5,0.27,0.56,64,30
5,0.27,0.56,81,24
5,0.27,0.56,86,1
6,0.19,0.49,5,17
6,0.19,0.49,35,11
6,0.19,0.49,40,20
6,0.19,0.49,59,47
6,0.19,0.49,76,3
6,0.19,0.49,81,38
6,0.19,0.49,86,48
7,0.86,0.67,9,48
7,0.86,0.67,10,13
7,0.86,0.67,12,21
7,0.86,0.67,25,26
7,0.86,0.67,70,8
7,0.86,0.67,74,42
7,0.86,0.67,82,13
7,0.86,0.67,92,50
8,0.59,0.23,41,50
8,0.59,0.23,56,42
9,0.88,0.51,2,8
9,0.88,0.51,12,18
9,0.88,0.51,21,8
9,0.88,0.51,26,41
9,0.88,0.51,27,50
9,0.88,0.51,43,48
9,0.88,0.51,58,17
9,0.88,0.51,70,37
9,0.88,0.51,71,43
9,0.88,0.51,74,43
9,0.88,0.51,82,42
9,0.88,0.51,92,12
10,0.88,0.72,25,2
10,0.88,0.72,74,38
10,0.88,0.72,92,12
11,0.59,0.45,2,6
11,0.59,0.45,18,13
11,0.59,0.45,72,34
11,0.59,0.45,73,13
11,0.59,0.45,94,6
12,0.71,0.58,11,17
12,0.71,0.58,47,7
12,0.71,0.58,92,9
12,0.71,0.58,94,43
13,0.31,0.46,3,35
13,0.31,0.46,5,25
13,0.31,0.46,6,3
13,0.31,0.46,18,23
13,0.31,0.46,35,17
13,0.31,0.46,40,19
13,0.31,0.46,67,45
13,0.31,0.46,75,27
14,0.38,0.43,3,36
14,0.38,0.43,5,5
14,0.38,0.43,6,49
14,0.38,0.43,13,46
14,0.38,0.43,18,11
14,0.38,0.43,40,48
14,0.38,0.43,67,42
14,0.38,0.43,75,44
15,0.93,0.09,-,-
16,0.44,0.44,3,40
16,0.44,0.44,11,46
16,0.44,0.44,13,5
16,0.44,0.44,14,5
16,0.44,0.44,18,18
16,0.44,0.44,40,40
16,0.44,0.44,45,43
16,0.44,0.44,67,37
16,0.44,0.44,75,11
16,0.44,0.44,96,14
17,0.2,0.01,23,30
17,0.2,0.01,38,6
17,0.2,0.01,55,38
17,0.2,0.01,62,50
17,0.2,0.01,66,1
18,0.43,0.44,75,6
19,0.17,0.88,24,42
19,0.17,0.88,85,40
19,0.17,0.88,88,26
19,0.17,0.88,90,17
19,0.17,0.88,91,6
20,0.63,0.04,8,30
20,0.63,0.04,41,46
20,0.63,0.04,56,24
21,0.74,0.42,2,31
21,0.74,0.42,11,15
21,0.74,0.42,12,19
21,0.74,0.42,27,41
21,0.74,0.42,72,8
21,0.74,0.42,73,16
21,0.74,0.42,82,7
22,0.39,0.17,30,16
22,0.39,0.17,33,9
22,0.39,0.17,41,43
22,0.39,0.17,56,43
22,0.39,0.17,62,34
22,0.39,0.17,67,41
22,0.39,0.17,75,21
23,0.25,0.05,22,31
23,0.25,0.05,30,12
23,0.25,0.05,55,7
23,0.25,0.05,62,2
23,0.25,0.05,66,12
24,0.01,0.9,91,34
25,0.7,0.79,47,45
25,0.7,0.79,92,4
25,0.7,0.79,94,27
26,0.82,0.41,0,42
26,0.82,0.41,2,27
26,0.82,0.41,21,47
26,0.82,0.41,27,49
26,0.82,0.41,32,43
26,0.82,0.41,43,36
26,0.82,0.41,54,7
26,0.82,0.41,58,44
26,0.82,0.41,71,26
26,0.82,0.41,72,21
26,0.82,0.41,73,32
26,0.82,0.41,82,25
27,0.83,0.36,2,35
27,0.83,0.36,43,29
27,0.83,0.36,72,35
27,0.83,0.36,73,10
27,0.83,0.36,82,17
28,0.96,0.16,15,36
28,0.96,0.16,32,26
28,0.96,0.16,52,11
28,0.96,0.16,54,6
28,0.96,0.16,68,20
28,0.96,0.16,77,35
28,0.96,0.16,93,34
29,0.06,0.37,6,1
29,0.06,0.37,51,28
29,0.06,0.37,61,31
29,0.06,0.37,65,10
29,0.06,0.37,76,27
29,0.06,0.37,86,34
30,0.42,0.03,41,23
30,0.42,0.03,56,44
31,0.12,0.74,19,41
31,0.12,0.74,24,31
31,0.12,0.74,35,5
31,0.12,0.74,59,31
31,0.12,0.74,81,5
31,0.12,0.74,83,29
31,0.12,0.74,85,44
31,0.12,0.74,91,1
32,0.89,0.29,2,16
32,0.89,0.29,21,17
32,0.89,0.29,27,1
32,0.89,0.29,43,13
32,0.89,0.29,54,32
32,0.89,0.29,58,31
32,0.89,0.29,71,43
33,0.55,0.18,8,32
33,0.55,0.18,20,19
33,0.55,0.18,30,13
33,0.55,0.18,41,50
33,0.55,0.18,56,7
33,0.55,0.18,72,18
33,0.55,0.18,73,16
34,0.55,0.77,1,7
34,0.55,0.77,25,34
34,0.55,0.77,47,35
34,0.55,0.77,94,19
35,0.27,0.65,-,-
36,0.08,0.62,5,49
36,0.08,0.62,6,7
36,0.08,0.62,31,45
36,0.08,0.62,35,18
36,0.08,0.62,53,50
36,0.08,0.62,59,46
36,0.08,0.62,76,46
36,0.08,0.62,81,2
36,0.08,0.62,83,12
36,0.08,0.62,86,16
37,0.03,0.12,4,7
37,0.03,0.12,38,7
37,0.03,0.12,39,32
37,0.03,0.12,51,7
37,0.03,0.12,55,32
37,0.03,0.12,61,19
37,0.03,0.12,65,17
37,0.03,0.12,66,26
38,0,0.01,61,21
39,0.01,0.09,38,22
39,0.01,0.09,55,26
39,0.01,0.09,61,30
39,0.01,0.09,66,47
40,0.28,0.47,18,41
40,0.28,0.47,35,49
40,0.28,0.47,75,40
40,0.28,0.47,81,2
40,0.28,0.47,86,26
41,0.53,0.19,-,-
42,0.76,0.95,25,46
42,0.76,0.95,46,3
42,0.76,0.95,48,31
42,0.76,0.95,99,38
43,0.94,0.47,-,-
44,0.5,0.87,1,8
44,0.5,0.87,34,2
44,0.5,0.87,47,40
44,0.5,0.87,90,17
45,0.51,0.56,3,27
45,0.51,0.56,11,38
45,0.51,0.56,14,50
45,0.51,0.56,18,28
45,0.51,0.56,47,8
45,0.51,0.56,64,20
45,0.51,0.56,94,44
46,0.95,0.9,10,41
46,0.95,0.9,99,49
47,0.58,0.72,-,-
48,0.61,1,44,5
49,0.45,0.66,3,11
49,0.45,0.66,34,43
49,0.45,0.66,35,9
49,0.45,0.66,45,43
49,0.45,0.66,47,29
49,0.45,0.66,60,43
49,0.45,0.66,64,20
49,0.45,0.66,80,26
49,0.45,0.66,87,6
49,0.45,0.66,94,10
50,0.17,0.38,6,34
50,0.17,0.38,13,28
50,0.17,0.38,29,16
50,0.17,0.38,40,39
50,0.17,0.38,51,15
50,0.17,0.38,65,21
50,0.17,0.38,67,22
50,0.17,0.38,75,15
50,0.17,0.38,84,5
50,0.17,0.38,86,4
51,0.05,0.31,55,13
51,0.05,0.31,86,34
52,0.88,0.05,15,5
52,0.88,0.05,68,46
53,0.08,0.42,6,43
53,0.08,0.42,29,18
53,0.08,0.42,50,30
53,0.08,0.42,51,48
53,0.08,0.42,65,21
53,0.08,0.42,76,18
53,0.08,0.42,81,18
53,0.08,0.42,84,43
53,0.08,0.42,86,4
54,0.95,0.29,27,10
54,0.95,0.29,43,48
54,0.95,0.29,58,38
54,0.95,0.29,71,10
55,0.18,0.17,66,17
56,0.47,0.07,-,-
57,0.63,0.34,0,10
57,0.63,0.34,2,46
57,0.63,0.34,8,36
57,0.63,0.34,11,31
57,0.63,0.34,21,7
57,0.63,0.34,33,48
57,0.63,0.34,41,36
57,0.63,0.34,72,18
57,0.63,0.34,73,17
58,0.98,0.43,27,20
58,0.98,0.43,43,37
58,0.98,0.43,74,2
58,0.98,0.43,82,14
59,0.19,0.64,35,46
59,0.19,0.64,40,21
59,0.19,0.64,81,45
59,0.19,0.64,86,21
60,0.52,0.76,1,27
60,0.52,0.76,25,42
60,0.52,0.76,34,32
60,0.52,0.76,44,36
60,0.52,0.76,47,35
60,0.52,0.76,64,26
60,0.52,0.76,94,3
61,0.06,0.2,51,45
61,0.06,0.2,55,30
61,0.06,0.2,65,17
62,0.38,0.01,30,27
62,0.38,0.01,56,47
63,0.36,0.86,1,18
63,0.36,0.86,19,9
63,0.36,0.86,44,28
63,0.36,0.86,60,47
63,0.36,0.86,64,39
63,0.36,0.86,69,48
63,0.36,0.86,85,35
63,0.36,0.86,88,14
63,0.36,0.86,90,42
63,0.36,0.86,97,27
64,0.36,0.67,35,8
64,0.36,0.67,59,46
65,0.07,0.3,51,23
65,0.07,0.3,55,18
65,0.07,0.3,86,32
66,0.2,0.04,62,1
67,0.3,0.31,18,30
67,0.3,0.31,40,8
67,0.3,0.31,55,37
67,0.3,0.31,75,17
68,0.95,0.07,15,7
69,0.4,0.79,1,1
69,0.4,0.79,34,10
69,0.4,0.79,35,46
69,0.4,0.79,44,46
69,0.4,0.79,47,49
69,0.4,0.79,49,25
69,0.4,0.79,60,49
69,0.4,0.79,64,17
69,0.4,0.79,85,14
