r = 0.2,upperCap = 2
NodeID,X,Y,EdgeTo,Capacity
0,0.66,0.46,2,0
0,0.66,0.46,3,1
0,0.66,0.46,11,0
0,0.66,0.46,21,1
0,0.66,0.46,27,1
0,0.66,0.46,45,0
0,0.66,0.46,57,1
0,0.66,0.46,71,1
0,0.66,0.46,72,0
0,0.66,0.46,73,1
0,0.66,0.46,80,0
0,0.66,0.46,87,0
0,0.66,0.46,92,0
0,0.66,0.46,94,1
1,0.39,0.89,34,1
1,0.39,0.89,44,1
1,0.39,0.89,60,0
1,0.39,0.89,63,1
1,0.39,0.89,69,1
1,0.39,0.89,85,0
1,0.39,0.89,88,0
1,0.39,0.89,90,0
1,0.39,0.89,97,1
2,0.75,0.36,9,0
2,0.75,0.36,11,0
2,0.75,0.36,21,1
2,0.75,0.36,32,1
2,0.75,0.36,57,1
2,0.75,0.36,71,0
2,0.75,0.36,72,1
2,0.75,0.36,73,1
2,0.75,0.36,95,1
3,0.48,0.49,11,1
4,0.11,0.25,29,1
4,0.11,0.25,55,0
5,0.27,0.56,13,0
5,0.27,0.56,64,1
5,0.27,0.56,81,1
6,0.19,0.49,5,0
6,0.19,0.49,13,1
6,0.19,0.49,14,0
6,0.19,0.49,29,1
6,0.19,0.49,40,0
6,0.19,0.49,50,0
6,0.19,0.49,59,1
6,0.19,0.49,81,1
6,0.19,0.49,86,0
7,0.86,0.67,9,0
7,0.86,0.67,10,0
7,0.86,0.67,25,0
7,0.86,0.67,70,1
7,0.86,0.67,74,1
7,0.86,0.67,82,0
7,0.86,0.67,92,0
8,0.59,0.23,57,1
9,0.88,0.51,58,0
9,0.88,0.51,71,0
9,0.88,0.51,74,0
9,0.88,0.51,82,1
9,0.88,0.51,92,1
10,0.88,0.72,92,1
11,0.59,0.45,-,-
12,0.71,0.58,0,1
12,0.71,0.58,7,0
12,0.71,0.58,9,0
12,0.71,0.58,11,0
12,0.71,0.58,21,1
12,0.71,0.58,70,1
12,0.71,0.58,80,0
12,0.71,0.58,87,0
12,0.71,0.58,92,0
12,0.71,0.58,94,1
13,0.31,0.46,3,0
14,0.38,0.43,3,1
14,0.38,0.43,5,0
14,0.38,0.43,13,0
14,0.38,0.43,16,1
14,0.38,0.43,40,0
14,0.38,0.43,67,1
14,0.38,0.43,75,1
14,0.38,0.43,79,1
15,0.93,0.09,-,-
16,0.44,0.44,3,1
16,0.44,0.44,11,0
16,0.44,0.44,13,0
16,0.44,0.44,40,0
16,0.44,0.44,67,1
16,0.44,0.44,75,1
16,0.44,0.44,79,1
17,0.20,0.01,23,1
17,0.20,0.01,55,1
17,0.20,0.01,66,0
18,0.43,0.44,3,1
18,0.43,0.44,5,0
18,0.43,0.44,11,0
18,0.43,0.44,13,0
18,0.43,0.44,14,0
18,0.43,0.44,16,1
18,0.43,0.44,40,0
18,0.43,0.44,45,1
18,0.43,0.44,67,0
18,0.43,0.44,75,0
18,0.43,0.44,79,0
18,0.43,0.44,96,1
19,0.17,0.88,24,1
19,0.17,0.88,31,1
19,0.17,0.88,63,0
19,0.17,0.88,85,1
19,0.17,0.88,88,0
19,0.17,0.88,91,0
20,0.63,0.04,8,1
20,0.63,0.04,33,1
20,0.63,0.04,41,0
20,0.63,0.04,56,0
20,0.63,0.04,93,0
20,0.63,0.04,98,0
