r = 0.3,upperCap = 2,,,
NodeID,X,Y,EdgeTo,Capacity
0,0.66,0.46,2,1
0,0.66,0.46,3,2
0,0.66,0.46,7,2
0,0.66,0.46,8,1
0,0.66,0.46,11,2
0,0.66,0.46,14,2
0,0.66,0.46,16,2
0,0.66,0.46,18,2
0,0.66,0.46,21,1
0,0.66,0.46,26,2
0,0.66,0.46,27,2
0,0.66,0.46,41,2
0,0.66,0.46,43,2
0,0.66,0.46,45,1
0,0.66,0.46,47,1
0,0.66,0.46,57,2
0,0.66,0.46,70,1
0,0.66,0.46,71,1
0,0.66,0.46,72,2
0,0.66,0.46,73,1
0,0.66,0.46,74,2
0,0.66,0.46,82,2
0,0.66,0.46,87,2
0,0.66,0.46,89,2
0,0.66,0.46,92,1
0,0.66,0.46,94,1
0,0.66,0.46,95,1
1,0.39,0.89,19,2
1,0.39,0.89,34,1
1,0.39,0.89,47,2
1,0.39,0.89,48,2
1,0.39,0.89,69,2
1,0.39,0.89,90,2
2,0.75,0.36,92,2
3,0.48,0.49,2,2
3,0.48,0.49,8,1
3,0.48,0.49,11,2
3,0.48,0.49,18,2
3,0.48,0.49,34,2
3,0.48,0.49,40,2
3,0.48,0.49,45,2
3,0.48,0.49,47,2
3,0.48,0.49,57,2
3,0.48,0.49,75,1
3,0.48,0.49,94,1
4,0.11,0.25,-,-
5,0.27,0.56,3,1
5,0.27,0.56,16,2
5,0.27,0.56,18,1
5,0.27,0.56,29,1
5,0.27,0.56,31,2
5,0.27,0.56,36,2
5,0.27,0.56,40,2
5,0.27,0.56,45,2
5,0.27,0.56,67,1
5,0.27,0.56,69,1
5,0.27,0.56,75,1
5,0.27,0.56,76,2
5,0.27,0.56,81,1
5,0.27,0.56,83,2
5,0.27,0.56,86,1
6,0.19,0.49,3,1
6,0.19,0.49,4,2
6,0.19,0.49,5,2
6,0.19,0.49,13,1
6,0.19,0.49,14,1
6,0.19,0.49,16,2
6,0.19,0.49,18,1
6,0.19,0.49,29,2
6,0.19,0.49,31,1
6,0.19,0.49,35,2
6,0.19,0.49,36,1
6,0.19,0.49,40,2
6,0.19,0.49,51,2
6,0.19,0.49,53,2
6,0.19,0.49,59,1
6,0.19,0.49,64,2
6,0.19,0.49,65,2
6,0.19,0.49,67,1
6,0.19,0.49,75,1
6,0.19,0.49,76,1
6,0.19,0.49,81,1
6,0.19,0.49,83,2
6,0.19,0.49,84,2
6,0.19,0.49,86,1
7,0.86,0.67,43,1
7,0.86,0.67,46,2
7,0.86,0.67,92,1
7,0.86,0.67,94,2
8,0.59,0.23,2,1
8,0.59,0.23,18,2
8,0.59,0.23,57,1
8,0.59,0.23,75,1
9,0.88,0.51,0,2
9,0.88,0.51,2,1
9,0.88,0.51,7,1
9,0.88,0.51,11,2
9,0.88,0.51,12,2
9,0.88,0.51,21,1
9,0.88,0.51,26,2
9,0.88,0.51,27,2
9,0.88,0.51,43,2
9,0.88,0.51,54,1
9,0.88,0.51,58,2
9,0.88,0.51,70,2
9,0.88,0.51,71,2
9,0.88,0.51,72,2
9,0.88,0.51,73,2
9,0.88,0.51,74,2
9,0.88,0.51,82,2
9,0.88,0.51,87,1
9,0.88,0.51,89,1
9,0.88,0.51,92,1
9,0.88,0.51,94,1
9,0.88,0.51,95,2
10,0.88,0.72,7,2
10,0.88,0.72,9,2
10,0.88,0.72,12,2
10,0.88,0.72,25,1
10,0.88,0.72,42,2
10,0.88,0.72,43,1
10,0.88,0.72,46,1
10,0.88,0.72,70,1
10,0.88,0.72,74,2
10,0.88,0.72,82,2
10,0.88,0.72,92,1
10,0.88,0.72,94,1
10,0.88,0.72,99,2
11,0.59,0.45,2,1
11,0.59,0.45,8,2
11,0.59,0.45,18,1
11,0.59,0.45,45,2
11,0.59,0.45,47,2
11,0.59,0.45,57,2
11,0.59,0.45,75,1
11,0.59,0.45,89,1
11,0.59,0.45,92,1
11,0.59,0.45,94,2
12,0.71,0.58,0,1
12,0.71,0.58,2,1
12,0.71,0.58,3,2
12,0.71,0.58,7,1
12,0.71,0.58,11,1
12,0.71,0.58,21,1
12,0.71,0.58,25,1
12,0.71,0.58,26,2
12,0.71,0.58,27,2
12,0.71,0.58,34,2
12,0.71,0.58,43,1
12,0.71,0.58,45,2
12,0.71,0.58,47,2
12,0.71,0.58,57,2
12,0.71,0.58,60,2
12,0.71,0.58,70,1
12,0.71,0.58,71,2
12,0.71,0.58,73,2
