r = 0.2,upperCap = 50
NodeID,X,Y,EdgeTo,Capacity
0,0.66,0.46,2,18
0,0.66,0.46,11,44
0,0.66,0.46,21,26
0,0.66,0.46,27,6
0,0.66,0.46,72,20
0,0.66,0.46,87,16
0,0.66,0.46,92,10
1,0.39,0.89,44,44
1,0.39,0.89,69,20
2,0.75,0.36,9,7
2,0.75,0.36,21,9
2,0.75,0.36,27,42
3,0.48,0.49,0,42
3,0.48,0.49,11,28
3,0.48,0.49,13,42
3,0.48,0.49,14,19
3,0.48,0.49,16,25
3,0.48,0.49,18,5
3,0.48,0.49,45,9
3,0.48,0.49,49,21
3,0.48,0.49,79,25
3,0.48,0.49,80,29
3,0.48,0.49,87,46
3,0.48,0.49,96,41
4,0.11,0.25,-,-
5,0.27,0.56,-,-
6,0.19,0.49,5,8
6,0.19,0.49,13,42
6,0.19,0.49,14,34
6,0.19,0.49,36,24
6,0.19,0.49,40,2
7,0.86,0.67,9,0
7,0.86,0.67,10,45
7,0.86,0.67,74,27
7,0.86,0.67,92,0
8,0.59,0.23,20,14
8,0.59,0.23,33,13
8,0.59,0.23,41,28
8,0.59,0.23,56,36
8,0.59,0.23,57,35
8,0.59,0.23,72,48
8,0.59,0.23,73,30
8,0.59,0.23,78,18
8,0.59,0.23,98,5
9,0.88,0.51,27,48
9,0.88,0.51,58,39
9,0.88,0.51,74,1
9,0.88,0.51,92,25
10,0.88,0.72,74,41
10,0.88,0.72,92,22
11,0.59,0.45,2,31
11,0.59,0.45,16,38
11,0.59,0.45,18,10
11,0.59,0.45,21,31
11,0.59,0.45,79,18
11,0.59,0.45,87,12
12,0.71,0.58,0,47
12,0.71,0.58,7,20
12,0.71,0.58,9,17
12,0.71,0.58,11,17
12,0.71,0.58,21,42
12,0.71,0.58,47,3
12,0.71,0.58,80,10
12,0.71,0.58,87,42
12,0.71,0.58,92,8
13,0.31,0.46,5,26
14,0.38,0.43,5,43
14,0.38,0.43,13,40
15,0.93,0.09,77,32
16,0.44,0.44,13,16
16,0.44,0.44,14,5
16,0.44,0.44,18,4
16,0.44,0.44,79,37
17,0.20,0.01,55,23
18,0.43,0.44,5,12
18,0.43,0.44,13,33
18,0.43,0.44,14,18
18,0.43,0.44,79,11
19,0.17,0.88,91,49
20,0.63,0.04,33,45
20,0.63,0.04,41,4
21,0.74,0.42,9,12
21,0.74,0.42,27,33
22,0.39,0.17,23,7
22,0.39,0.17,30,41
22,0.39,0.17,33,12
22,0.39,0.17,41,49
22,0.39,0.17,56,48
22,0.39,0.17,62,6
22,0.39,0.17,67,44
22,0.39,0.17,75,17
22,0.39,0.17,78,49
23,0.25,0.05,17,36
23,0.25,0.05,55,44
24,0.01,0.90,19,1
24,0.01,0.90,91,37
25,0.70,0.79,7,17
25,0.70,0.79,10,39
25,0.70,0.79,34,42
25,0.70,0.79,42,36
25,0.70,0.79,47,10
25,0.70,0.79,70,13
25,0.70,0.79,92,41
25,0.70,0.79,94,26
25,0.70,0.79,97,46
26,0.82,0.41,0,26
26,0.82,0.41,2,33
26,0.82,0.41,9,42
26,0.82,0.41,21,44
26,0.82,0.41,27,28
26,0.82,0.41,43,21
26,0.82,0.41,58,14
26,0.82,0.41,72,35
27,0.83,0.36,77,47
28,0.96,0.16,15,4
28,0.96,0.16,52,45
28,0.96,0.16,54,26
28,0.96,0.16,68,49
28,0.96,0.16,77,9
28,0.96,0.16,93,49
29,0.06,0.37,4,4
29,0.06,0.37,6,48
29,0.06,0.37,51,45
30,0.42,0.03,23,28
30,0.42,0.03,33,7
30,0.42,0.03,41,30
30,0.42,0.03,56,28
31,0.12,0.74,19,34
31,0.12,0.74,24,9
31,0.12,0.74,36,16
31,0.12,0.74,85,16
31,0.12,0.74,91,6
32,0.89,0.29,2,43
32,0.89,0.29,21,0
32,0.89,0.29,26,24
32,0.89,0.29,27,13
32,0.89,0.29,28,23
32,0.89,0.29,43,42
32,0.89,0.29,54,15
32,0.89,0.29,58,6
32,0.89,0.29,71,34
32,0.89,0.29,77,37
33,0.55,0.18,41,5
34,0.55,0.77,1,20
34,0.55,0.77,44,29
34,0.55,0.77,47,16
34,0.55,0.77,49,38
34,0.55,0.77,69,14
34,0.55,0.77,80,49
34,0.55,0.77,97,32
35,0.27,0.65,5,37
35,0.27,0.65,6,49
35,0.27,0.65,13,27
35,0.27,0.65,31,7
35,0.27,0.65,36,19
35,0.27,0.65,40,43
35,0.27,0.65,49,19
35,0.27,0.65,69,36
35,0.27,0.65,79,1
35,0.27,0.65,85,13
36,0.08,0.62,5,47
37,0.03,0.12,4,11
37,0.03,0.12,38,6
37,0.03,0.12,39,1
37,0.03,0.12,51,11
37,0.03,0.12,55,3
37,0.03,0.12,65,41
38,0.00,0.01,17,22
38,0.00,0.01,39,16
39,0.01,0.09,4,22
39,0.01,0.09,55,17
40,0.28,0.47,5,49
40,0.28,0.47,13,6
40,0.28,0.47,14,17
40,0.28,0.47,16,15
40,0.28,0.47,18,6
40,0.28,0.47,75,33
40,0.28,0.47,79,34
41,0.53,0.19,-,-
42,0.76,0.95,99,16
43,0.94,0.47,9,43
43,0.94,0.47,27,45
43,0.94,0.47,58,45
43,0.94,0.47,74,20
44,0.50,0.87,-,-
45,0.51,0.56,0,2
45,0.51,0.56,11,40
45,0.51,0.56,14,26
45,0.51,0.56,16,20
45,0.51,0.56,18,24
45,0.51,0.56,47,0
45,0.51,0.56,49,0
45,0.51,0.56,79,27
45,0.51,0.56,87,30
45,0.51,0.56,96,9
46,0.95,0.90,10,12
46,0.95,0.90,42,20
46,0.95,0.90,99,25
47,0.58,0.72,44,19
47,0.58,0.72,49,46
47,0.58,0.72,69,2
47,0.58,0.72,87,37
48,0.61,1.00,42,45
48,0.61,1.00,44,45
48,0.61,1.00,97,48
49,0.45,0.66,69,18
49,0.45,0.66,79,5
49,0.45,0.66,87,12
50,0.17,0.38,4,3
50,0.17,0.38,6,28
50,0.17,0.38,13,35
50,0.17,0.38,29,18
50,0.17,0.38,40,4
50,0.17,0.38,51,42
50,0.17,0.38,75,13
50,0.17,0.38,84,19
50,0.17,0.38,86,14
51,0.05,0.31,4,33
51,0.05,0.31,55,38
52,0.88,0.05,15,10
52,0.88,0.05,77,47
52,0.88,0.05,93,41
53,0.08,0.42,4,45
53,0.08,0.42,6,45
53,0.08,0.42,29,1
53,0.08,0.42,36,11
53,0.08,0.42,50,15
53,0.08,0.42,51,4
53,0.08,0.42,65,39
53,0.08,0.42,76,37
53,0.08,0.42,81,47
53,0.08,0.42,84,22
53,0.08,0.42,86,36
54,0.95,0.29,26,18
54,0.95,0.29,27,5
54,0.95,0.29,43,23
54,0.95,0.29,58,15
54,0.95,0.29,77,8
55,0.18,0.17,4,7
56,0.47,0.07,20,43
56,0.47,0.07,33,40
56,0.47,0.07,41,48
56,0.47,0.07,78,34
56,0.47,0.07,98,28
57,0.63,0.34,0,37
57,0.63,0.34,2,2
57,0.63,0.34,11,17
57,0.63,0.34,21,45
57,0.63,0.34,33,2
57,0.63,0.34,41,30
57,0.63,0.34,72,37
57,0.63,0.34,78,26
58,0.98,0.43,27,20
59,0.19,0.64,5,16
59,0.19,0.64,6,36
59,0.19,0.64,31,42
59,0.19,0.64,35,42
59,0.19,0.64,36,41
59,0.19,0.64,40,11
59,0.19,0.64,64,39
59,0.19,0.64,81,45
59,0.19,0.64,85,4
59,0.19,0.64,86,4
60,0.52,0.76,1,25
60,0.52,0.76,25,29
60,0.52,0.76,34,36
60,0.52,0.76,44,3
60,0.52,0.76,47,30
60,0.52,0.76,49,38
60,0.52,0.76,63,4
60,0.52,0.76,64,40
60,0.52,0.76,69,22
60,0.52,0.76,94,45
60,0.52,0.76,97,2
61,0.06,0.20,4,4
61,0.06,0.20,29,18
61,0.06,0.20,37,40
61,0.06,0.20,38,35
61,0.06,0.20,39,20
61,0.06,0.20,51,33
61,0.06,0.20,55,43
61,0.06,0.20,65,30
62,0.38,0.01,17,7
62,0.38,0.01,23,0
62,0.38,0.01,30,42
62,0.38,0.01,56,44
62,0.38,0.01,66,41
63,0.36,0.86,1,41
63,0.36,0.86,19,37
63,0.36,0.86,44,35
63,0.36,0.86,64,3
63,0.36,0.86,69,30
63,0.36,0.86,85,19
63,0.36,0.86,90,0
63,0.36,0.86,97,9
64,0.36,0.67,5,41
64,0.36,0.67,35,27
64,0.36,0.67,45,2
64,0.36,0.67,49,41
64,0.36,0.67,69,28
64,0.36,0.67,79,28
64,0.36,0.67,85,15
64,0.36,0.67,96,16
65,0.07,0.30,4,15
65,0.07,0.30,29,38
65,0.07,0.30,50,14
65,0.07,0.30,51,20
65,0.07,0.30,55,21
65,0.07,0.30,84,14
65,0.07,0.30,86,4
66,0.20,0.04,17,9
66,0.20,0.04,23,29
66,0.20,0.04,37,5
66,0.20,0.04,39,37
66,0.20,0.04,55,49
67,0.30,0.31,4,47
67,0.30,0.31,13,22
67,0.30,0.31,14,10
67,0.30,0.31,16,48
67,0.30,0.31,18,14
67,0.30,0.31,40,8
67,0.30,0.31,50,48
67,0.30,0.31,55,32
67,0.30,0.31,75,14
68,0.95,0.07,15,42
68,0.95,0.07,52,42
68,0.95,0.07,77,33
68,0.95,0.07,93,40
69,0.40,0.79,44,40
70,0.80,0.62,7,19
70,0.80,0.62,9,34
70,0.80,0.62,10,33
70,0.80,0.62,12,40
70,0.80,0.62,74,30
70,0.80,0.62,80,4
70,0.80,0.62,82,30
70,0.80,0.62,87,4
70,0.80,0.62,92,28
71,0.82,0.39,0,18
71,0.82,0.39,2,37
71,0.82,0.39,9,38
71,0.82,0.39,21,20
71,0.82,0.39,26,35
71,0.82,0.39,27,7
71,0.82,0.39,43,29
71,0.82,0.39,54,23
71,0.82,0.39,57,27
71,0.82,0.39,58,33
71,0.82,0.39,72,27
72,0.69,0.28,2,33
72,0.69,0.28,11,27
72,0.69,0.28,21,29
72,0.69,0.28,27,23
72,0.69,0.28,33,0
72,0.69,0.28,41,6
72,0.69,0.28,78,49
72,0.69,0.28,93,1
73,0.68,0.32,0,10
73,0.68,0.32,2,39
73,0.68,0.32,11,9
73,0.68,0.32,21,45
73,0.68,0.32,26,35
73,0.68,0.32,27,30
73,0.68,0.32,33,6
73,0.68,0.32,41,47
73,0.68,0.32,57,35
73,0.68,0.32,71,17
73,0.68,0.32,72,16
73,0.68,0.32,78,32
74,0.91,0.61,58,22
74,0.91,0.61,92,20
75,0.33,0.31,13,5
75,0.33,0.31,14,41
75,0.33,0.31,16,39
75,0.33,0.31,18,25
76,0.02,0.54,6,8
76,0.02,0.54,29,30
76,0.02,0.54,36,8
76,0.02,0.54,59,36
76,0.02,0.54,81,36
76,0.02,0.54,84,22
76,0.02,0.54,86,28
77,0.89,0.17,-,-
78,0.55,0.25,33,44
78,0.55,0.25,41,3
79,0.42,0.54,5,0
79,0.42,0.54,13,26
79,0.42,0.54,14,46
80,0.63,0.59,0,15
80,0.63,0.59,11,6
80,0.63,0.59,45,26
80,0.63,0.59,47,41
80,0.63,0.59,49,31
80,0.63,0.59,87,35
80,0.63,0.59,92,34
80,0.63,0.59,96,25
81,0.13,0.58,5,0
81,0.13,0.58,6,12
81,0.13,0.58,31,31
81,0.13,0.58,35,30
81,0.13,0.58,36,42
81,0.13,0.58,40,9
81,0.13,0.58,84,47
81,0.13,0.58,86,37
82,0.91,0.51,7,24
82,0.91,0.51,9,48
82,0.91,0.51,21,16
82,0.91,0.51,26,13
82,0.91,0.51,27,27
82,0.91,0.51,43,44
82,0.91,0.51,58,38
82,0.91,0.51,71,42
82,0.91,0.51,74,17
82,0.91,0.51,92,29
83,0.10,0.68,31,20
83,0.10,0.68,35,8
83,0.10,0.68,36,24
83,0.10,0.68,59,20
83,0.10,0.68,76,30
83,0.10,0.68,81,19
83,0.10,0.68,91,23
84,0.09,0.40,4,47
84,0.09,0.40,6,28
84,0.09,0.40,29,23
84,0.09,0.40,51,4
84,0.09,0.40,86,6
85,0.29,0.81,1,26
85,0.29,0.81,19,29
85,0.29,0.81,69,45
86,0.11,0.47,5,20
86,0.11,0.47,6,30
86,0.11,0.47,29,14
86,0.11,0.47,36,18
86,0.11,0.47,40,40
86,0.11,0.47,51,7
87,0.62,0.57,21,33
87,0.62,0.57,92,12
88,0.26,0.90,1,21
88,0.26,0.90,19,1
88,0.26,0.90,63,31
88,0.26,0.90,69,27
88,0.26,0.90,85,22
88,0.26,0.90,90,4
89,0.84,0.33,2,6
89,0.84,0.33,9,6
89,0.84,0.33,21,31
89,0.84,0.33,26,6
89,0.84,0.33,27,31
89,0.84,0.33,32,18
89,0.84,0.33,43,16
89,0.84,0.33,54,25
89,0.84,0.33,58,7
89,0.84,0.33,71,17
89,0.84,0.33,72,7
89,0.84,0.33,73,40
89,0.84,0.33,77,49
89,0.84,0.33,82,47
90,0.33,0.87,1,29
90,0.33,0.87,19,7
90,0.33,0.87,44,36
90,0.33,0.87,69,16
90,0.33,0.87,85,33
91,0.02,0.83,-,-
92,0.76,0.63,-,-
93,0.78,0.12,15,41
93,0.78,0.12,20,9
93,0.78,0.12,77,5
94,0.61,0.62,0,48
94,0.61,0.62,3,42
94,0.61,0.62,11,35
94,0.61,0.62,12,6
94,0.61,0.62,34,43
94,0.61,0.62,45,25
94,0.61,0.62,47,20
94,0.61,0.62,49,31
94,0.61,0.62,70,24
94,0.61,0.62,80,35
94,0.61,0.62,87,25
94,0.61,0.62,92,10
94,0.61,0.62,96,5
95,0.91,0.30,2,17
95,0.91,0.30,26,8
95,0.91,0.30,27,27
95,0.91,0.30,28,46
95,0.91,0.30,32,38
95,0.91,0.30,43,47
95,0.91,0.30,54,34
95,0.91,0.30,58,13
95,0.91,0.30,71,41
95,0.91,0.30,77,26
95,0.91,0.30,89,47
96,0.46,0.53,5,4
96,0.46,0.53,11,11
96,0.46,0.53,13,11
96,0.46,0.53,14,30
96,0.46,0.53,16,7
96,0.46,0.53,18,1
96,0.46,0.53,40,39
